1395,103.04,Course A,A
1217,103.22,Course A,A
1186,104.21,Course A,A
1416,104.27,Course A,A
1034,105.14,Course A,A
1340,105.17,Course A,A
1277,106.05,Course A,A
1408,106.24,Course A,A
1414,106.18,Course A,A
1332,106.59,Course A,A
1415,107.15,Course A,A
1447,107.28,Course A,A
1232,107.35,Course A,A
1357,107.50,Course A,A
1373,107.55,Course A,A
1104,107.57,Course A,A
1252,108.44,Course A,A
1188,108.56,Course A,A
1257,108.59,Course A,A
1008,109.09,Course A,A
1171,109.15,Course A,A
1308,109.38,Course A,A
1451,109.41,Course A,A
1480,109.50,Course A,A
1297,110.01,Course A,A
1367,110.03,Course A,A
1499,111.46,Course A,A
1198,111.49,Course A,A
1050,112.14,Course A,A
1438,112.28,Course A,A
1199,115.43,Course A,A
1330,116.03,Course A,A
1463,116.04,Course A,A
1153,117.20,Course A,A
1261,117.20,Course A,A
1003,117.22,Course A,A
1164,117.37,Course A,A
1318,118.21,Course A,A
1077,118.31,Course A,A
1032,118.42,Course A,A
1107,118.47,Course A,A
1155,118.52,Course A,A
1159,120.12,Course A,A
1009,120.37,Course A,A
1147,120.42,Course A,A
1462,120.42,Course A,A
1002,120.44,Course A,A
1301,121.08,Course A,A
1428,122.19,Course A,A
1006,122.22,Course A,A
1148,123.38,Course A,A
1020,124.00,Course A,A
1222,124.35,Course A,A
1224,124.49,Course A,A
1445,124.50,Course A,A
1177,125.06,Course A,A
1174,125.50,Course A,A
1036,126.05,Course A,A
1021,126.09,Course A,A
1014,126.46,Course A,A
1013,126.57,Course A,A
1486,127.32,Course A,A
1489,127.46,Course A,A
1246,127.51,Course A,A
1280,129.05,Course A,A
1150,129.52,Course A,A
1349,130.31,Course A,A
1092,130.35,Course A,A
1238,130.50,Course A,A
1466,131.31,Course A,A
1399,132.05,Course A,A
1158,132.12,Course A,A
1192,132.18,Course A,A
1422,132.32,Course A,A
1251,132.39,Course A,A
1001,133.33,Course A,A
1015,133.52,Course A,A
1121,135.13,Course A,A
1056,135.14,Course A,A
1377,135.21,Course A,A
1434,135.58,Course A,A
1044,136.34,Course A,A
1147,137.20,Course A,A
1350,137.47,Course A,A
1031,137.52,Course A,A
1035,139.03,Course A,A
1055,139.52,Course A,A
1278,140.22,Course A,A
1293,141.02,Course A,A
1371,141.06,Course A,A
1365,141.17,Course A,A
1201,141.24,Course A,A
1496,143.22,Course A,A
1218,144.10,Course A,A
1306,144.23,Course A,A
1402,144.27,Course A,A
1370,146.13,Course A,A
1161,147.39,Course A,A
1461,147.41,Course A,A
1097,149.27,Course A,A
1139,149.32,Course A,A
1244,150.31,Course A,A
1412,151.53,Course A,A
1263,152.34,Course A,A
1071,152.49,Course A,A
1052,152.58,Course A,A
1114,154.03,Course A,A
1166,154.44,Course A,A
1331,155.28,Course A,A
1404,155.52,Course A,A
1460,158.04,Course A,A
1053,158.52,Course A,A
1502,159.52,Course A,A
1099,160.03,Course A,A
1010,160.08,Course A,A
1291,160.11,Course A,A
1290,160.17,Course A,A
1187,160.18,Course A,A
1382,160.18,Course A,A
1206,160.51,Course A,A
1338,161.33,Course A,A
1266,162.00,Course A,A
1043,164.39,Course A,A
1465,164.48,Course A,A
1204,164.57,Course A,A
1341,166.05,Course A,A
1012,166.41,Course A,A
1379,167.28,Course A,A
1069,168.01,Course A,A
1167,169.35,Course A,A
1143,170.30,Course A,A
1487,171.16,Course A,A
1033,172.19,Course A,A
1482,173.20,Course A,A
1260,174.50,Course A,A
1294,175.24,Course A,A
1089,179.04,Course A,A
1242,180.27,Course A,A
1281,180.34,Course A,A
1292,182.32,Course A,A
1268,182.45,Course A,A
1483,185.45,Course A,A
1387,186.12,Course A,A
1090,187.58,Course A,A
1070,188.55,Course A,A
1362,189.46,Course A,A
1100,189.56,Course A,A
1091,191.54,Course A,A
1425,192.06,Course A,A
1267,192.25,Course A,A
1454,196.56,Course A,A
1156,197.51,Course A,A
1344,198.22,Course A,A
1151,202.14,Course A,A
1324,202.19,Course A,A
1205,205.51,Course A,A
1125,209.40,Course A,A
1295,210.43,Course A,A
1172,210.51,Course A,A
1106,211.34,Course A,A
1207,211.52,Course A,A
1160,214.28,Course A,A
1442,216.21,Course A,A
1219,217.59,Course A,A
1504,219.34,Course A,A
1296,220.56,Course A,A
1492,221.40,Course A,A
1133,223.05,Course A,A
1213,224.19,Course A,A
1113,229.45,Course A,A
1369,231.20,Course A,A
1181,232.55,Course A,A
1072,233.05,Course A,A
1051,239.02,Course A,A
1136,239.14,Course A,A
1355,239.39,Course A,A
1479,243.11,Course A,A
1212,244.38,Course A,A
1491,244.52,Course A,A
1093,248.07,Course A,A
1142,248.13,Course A,A
1123,248.46,Course A,A
1078,250.48,Course A,A
1333,257.27,Course A,A
1042,273.33,Course A,A
1145,280.50,Course A,A
1079,298.33,Course A,A
1494,302.46,Course A,A
1398,307.26,Course A,A
1366,311.35,Course A,A
1353,311.51,Course A,A
1154,338.36,Course A,A
1144,372.00,Course A,A
1391,380.16,Course A,A
1449,87.39,Course B,A
1089,91.02,Course B,A
1197,98.22,Course B,A
1321,111.23,Course B,A
1345,117.51,Course B,A
1064,123.17,Course B,A
1421,127.03,Course B,A
1359,128.29,Course B,A
1259,135.10,Course B,A
1467,142.19,Course B,A
1173,143.22,Course B,A
1309,164.09,Course B,A
1195,169.00,Course B,A
1310,217.09,Course B,A
1140,46.23,Course C,A
1040,48.14,Course C,A
1298,48.28,Course C,A
1062,50.29,Course C,A
1096,59.45,Course C,A
1484,60.50,Course C,A
1432,61.32,Course C,A
1208,62.19,Course C,A
1247,66.01,Course C,A
1450,83.24,Course C,A
1500,88.17,Course C,A
1152,120.44,Course C,A
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
